"site","experiment","year","input_type","modelled_SOC"
"E10_CT_CR1","E10",1992,"0-15",43.4
"E10_CT_CR2","E10",1992,"0-15",43.4
"E10_NT_CR1","E10",1992,"0-15",47.4
"E10_NT_CR2","E10",1992,"0-15",47.4
"E11_CT_CR1","E11",1992,"0-15",46.55
"E11_CT_CR2","E11",1992,"0-15",46.55
"E11_NT_CR1","E11",1992,"0-15",47.05
"E11_NT_CR2","E11",1992,"0-15",47.05
"E12_CT_CR1","E12",1991,"0-15",91.1
"E12_CT_CR2","E12",1991,"0-15",91.1
"E12_NT_CR1","E12",1991,"0-15",91.9
"E12_NT_CR2","E12",1991,"0-15",91.9
"E13_CT","E13",1989,"0-15",84.5
"E13_NT","E13",1989,"0-15",88.3
"E14_CT","E14",1989,"0-15",131.2
"E14_NT","E14",1989,"0-15",132.6
"E15_CT_CR1","E15",1996,"0-15",60.15
"E15_CT_CR2","E15",1996,"0-15",60.15
"E15_CT_CR4","E15",1996,"0-15",60.15
"E15_NT_CR1","E15",1996,"0-15",62.05
"E15_NT_CR2","E15",1996,"0-15",62.05
"E15_NT_CR4","E15",1996,"0-15",62.05
"E16_CT","E16",1993,"0-50",23.4
"E16_NT","E16",1993,"0-50",22.1
"E17_CT","E17",1995,"0-50",72.2
"E17_NT","E17",1995,"0-50",71.7
"E18_CT","E18",1994,"0-60",49.8
"E18_NT","E18",1994,"0-60",41.8
"E19_CT","E19",1994,"0-60",44.8
"E19_NT","E19",1994,"0-60",44.1
"E1_F0NS_CT","E1",1983,"0-20",131.9
"E1_F0S_CT","E1",1983,"0-20",131.9
"E1_F25NS_CT","E1",1983,"0-20",131.9
"E1_F25S_CT","E1",1983,"0-20",131.9
"E1_F50NS_CT","E1",1983,"0-20",131.9
"E1_F50S_CT","E1",1983,"0-20",131.9
"E1_F75NS_CT","E1",1983,"0-20",131.9
"E1_F75S_CT","E1",1983,"0-20",131.9
"E20_CT","E20",1994,"0-60",75.25
"E20_NT","E20",1994,"0-60",54.95
"E21_CT","E21",1994,"0-60",42.4
"E21_NT","E21",1994,"0-60",36
"E22_CT","E22",1994,"0-60",41.95
"E22_NT","E22",1994,"0-60",36.45
"E23_CT","E23",1994,"0-60",37.85
"E23_NT","E23",1994,"0-60",40.55
"E24_CT","E24",1994,"0-60",52.1
"E24_NT","E24",1994,"0-60",62.5
"E25_CT","E25",1994,"0-60",30
"E25_NT","E25",1994,"0-60",26.9
"E26_CT","E26",1994,"0-60",74.65
"E26_NT","E26",1994,"0-60",73.75
"E27_CT","E27",1988,"0-16",44.85
"E27_NT","E27",1988,"0-16",46.75
"E28_CT","E28",1999,"0-40",81.9
