"site","experiment","TrtID","year","input_type","modelled_SOC"
"E10_CT_CR1","E10","E10_CT_CR1",1992,"0-15",43.4
"E10_CT_CR2","E10","E10_CT_CR2",1992,"0-15",43.4
"E10_NT_CR1","E10","E10_NT_CR1",1992,"0-15",47.4
"E10_NT_CR2","E10","E10_NT_CR2",1992,"0-15",47.4
"E11_CT_CR1","E11","E11_CT_CR1",1992,"0-15",46.55
"E11_CT_CR2","E11","E11_CT_CR2",1992,"0-15",46.55
"E11_NT_CR1","E11","E11_NT_CR1",1992,"0-15",47.05
"E11_NT_CR2","E11","E11_NT_CR2",1992,"0-15",47.05
"E12_CT_CR1","E12","E12_CT_CR1",1991,"0-15",91.1
"E12_CT_CR2","E12","E12_CT_CR2",1991,"0-15",91.1
"E12_NT_CR1","E12","E12_NT_CR1",1991,"0-15",91.9
"E12_NT_CR2","E12","E12_NT_CR2",1991,"0-15",91.9
"E13_CT","E13","E13_CT_CR3",1989,"0-15",84.5
"E13_NT","E13","E13_NT_CR3",1989,"0-15",88.3
"E14_CT","E14","E14_CT_CR3",1989,"0-15",131.2
"E14_NT","E14","E14_NT_CR3",1989,"0-15",132.6
"E15_CT_CR1","E15","E15_CT_CR1",1996,"0-15",60.15
"E15_CT_CR2","E15","E15_CT_CR2",1996,"0-15",60.15
"E15_CT_CR4","E15","E15_CT_CR4",1996,"0-15",60.15
"E15_NT_CR1","E15","E15_NT_CR1",1996,"0-15",62.05
"E15_NT_CR2","E15","E15_NT_CR2",1996,"0-15",62.05
"E15_NT_CR4","E15","E15_NT_CR4",1996,"0-15",62.05
"E16_CT","E16","E16_CT_CR5",1993,"0-50",23.4
"E16_NT","E16","E16_NT_CR5",1993,"0-50",22.1
"E17_CT","E17","E17_CT_CR5",1995,"0-50",72.2
"E17_NT","E17","E17_NT_CR5",1995,"0-50",71.7
"E18_CT","E18","E18_CT_CR6",1994,"0-60",49.8
"E18_NT","E18","E18_NT_CR6",1994,"0-60",41.8
"E19_CT","E19","E19_CT_CR6",1994,"0-60",44.8
"E19_NT","E19","E19_NT_CR6",1994,"0-60",44.1
"E1_F0NS_CT","E1","E1_F0NS_CT_CR1",1983,"0-20",131.9
"E1_F0NS_CT","E1","E1_F0NS_CT_CR1",1995,"0-20",149.29
"E1_F0NS_CT","E1","E1_F0NS_CT_CR3",2009,"0-20",140.9833333
"E1_F0S_CT","E1","E1_F0S_CT_CR1",1983,"0-20",131.9
"E1_F0S_CT","E1","E1_F0S_CT_CR1",1995,"0-20",147.5566667
"E1_F0S_CT","E1","E1_F0S_CT_CR3",2009,"0-20",140.5433333
"E1_F25NS_CT","E1","E1_F25NS_CT_CR1",1983,"0-20",131.9
"E1_F25NS_CT","E1","E1_F25NS_CT_CR1",1995,"0-20",148.09
"E1_F25NS_CT","E1","E1_F25NS_CT_CR3",2009,"0-20",145.01
"E1_F25S_CT","E1","E1_F25S_CT_CR1",1983,"0-20",131.9
"E1_F25S_CT","E1","E1_F25S_CT_CR1",1995,"0-20",151.1566667
"E1_F25S_CT","E1","E1_F25S_CT_CR3",2009,"0-20",144.77
"E1_F50NS_CT","E1","E1_F50NS_CT_CR1",1983,"0-20",131.9
"E1_F50NS_CT","E1","E1_F50NS_CT_CR1",1995,"0-20",148.49
"E1_F50NS_CT","E1","E1_F50NS_CT_CR3",2009,"0-20",138.9166667
"E1_F50S_CT","E1","E1_F50S_CT_CR1",1983,"0-20",131.9
"E1_F50S_CT","E1","E1_F50S_CT_CR1",1995,"0-20",149.8233333
"E1_F50S_CT","E1","E1_F50S_CT_CR3",2009,"0-20",141.6766667
"E1_F75NS_CT","E1","E1_F75NS_CT_CR1",1983,"0-20",131.9
"E1_F75NS_CT","E1","E1_F75NS_CT_CR1",1995,"0-20",150.09
"E1_F75NS_CT","E1","E1_F75NS_CT_CR3",2009,"0-20",143.0633333
"E1_F75S_CT","E1","E1_F75S_CT_CR1",1983,"0-20",131.9
"E1_F75S_CT","E1","E1_F75S_CT_CR1",1995,"0-20",153.69
"E1_F75S_CT","E1","E1_F75S_CT_CR3",2009,"0-20",147.7433333
"E20_CT","E20","E20_CT_CR3",1994,"0-60",75.25
