"site","POLYID","Freq","experiment","year","input_type","modelled_SOC","init_active_frac","init_slow_frac","init_passive_frac"
"E1_F0NS_CT","727006",27,"E1",1983,"0-20",131.9,NA,NA,NA
"E1_F0S_CT","727006",27,"E1",1983,"0-20",131.9,NA,NA,NA
"E1_F25NS_CT","727006",27,"E1",1983,"0-20",131.9,NA,NA,NA
"E1_F25S_CT","727006",27,"E1",1983,"0-20",131.9,NA,NA,NA
"E1_F50NS_CT","727006",27,"E1",1983,"0-20",131.9,NA,NA,NA
"E1_F50S_CT","727006",27,"E1",1983,"0-20",131.9,NA,NA,NA
"E1_F75NS_CT","727006",27,"E1",1983,"0-20",131.9,NA,NA,NA
"E1_F75S_CT","727006",27,"E1",1983,"0-20",131.9,NA,NA,NA
"E10_CT_CR1","808017",11,"E10",1992,"0-15",43.4,NA,NA,NA
"E10_CT_CR2","808017",11,"E10",1992,"0-15",43.4,NA,NA,NA
"E10_NT_CR1","808017",11,"E10",1992,"0-15",47.4,NA,NA,NA
"E10_NT_CR2","808017",11,"E10",1992,"0-15",47.4,NA,NA,NA
"E11_CT_CR1","825007",11,"E11",1992,"0-15",46.55,NA,NA,NA
"E11_CT_CR2","825007",11,"E11",1992,"0-15",46.55,NA,NA,NA
"E11_NT_CR1","825007",11,"E11",1992,"0-15",47.05,NA,NA,NA
"E11_NT_CR2","825007",11,"E11",1992,"0-15",47.05,NA,NA,NA
"E12_CT_CR1","793011",16,"E12",1991,"0-15",91.1,NA,NA,NA
"E12_CT_CR2","793011",16,"E12",1991,"0-15",91.1,NA,NA,NA
"E12_NT_CR1","793011",16,"E12",1991,"0-15",91.9,NA,NA,NA
"E12_NT_CR2","793011",16,"E12",1991,"0-15",91.9,NA,NA,NA
"E13_CT","692009",11,"E13",1989,"0-15",84.5,NA,NA,NA
"E13_NT","692009",11,"E13",1989,"0-15",88.3,NA,NA,NA
"E14_CT","727006",11,"E14",1989,"0-15",131.2,NA,NA,NA
"E14_NT","727006",11,"E14",1989,"0-15",132.6,NA,NA,NA
"E15_CT_CR1","754010",10,"E15",1996,"0-15",60.15,NA,NA,NA
"E15_CT_CR2","754010",10,"E15",1996,"0-15",60.15,NA,NA,NA
"E15_CT_CR4","754010",10,"E15",1996,"0-15",60.15,NA,NA,NA
"E15_NT_CR1","754010",10,"E15",1996,"0-15",62.05,NA,NA,NA
"E15_NT_CR2","754010",10,"E15",1996,"0-15",62.05,NA,NA,NA
"E15_NT_CR4","754010",10,"E15",1996,"0-15",62.05,NA,NA,NA
"E16_CT","568002",6,"E16",1993,"0-50",23.4,NA,NA,NA
"E16_NT","568002",6,"E16",1993,"0-50",22.1,NA,NA,NA
"E17_CT","560003",29,"E17",1995,"0-50",72.2,NA,NA,NA
"E17_NT","560003",29,"E17",1995,"0-50",71.7,NA,NA,NA
"E18_CT","536013",8,"E18",1994,"0-60",49.8,NA,NA,NA
"E18_NT","536013",8,"E18",1994,"0-60",41.8,NA,NA,NA
"E19_CT","536013",8,"E19",1994,"0-60",44.8,NA,NA,NA
"E19_NT","536013",8,"E19",1994,"0-60",44.1,NA,NA,NA
"E2_F1_CT_1","570007",14,"E2",2004,"0-30",88.7,NA,NA,NA
"E2_F1_CT_2","570007",14,"E2",2004,"0-30",88.7,NA,NA,NA
"E2_F1_CT_3","570007",14,"E2",2004,"0-30",88.7,NA,NA,NA
"E2_F2_CT_1","570007",14,"E2",2004,"0-30",88.7,NA,NA,NA
"E2_F2_CT_2","570007",14,"E2",2004,"0-30",88.7,NA,NA,NA
"E2_F2_CT_3","570007",14,"E2",2004,"0-30",88.7,NA,NA,NA
"E2_F3_CT_1","570007",14,"E2",2004,"0-30",88.7,NA,NA,NA
"E2_F3_CT_2","570007",14,"E2",2004,"0-30",88.7,NA,NA,NA
"E2_F3_CT_3","570007",14,"E2",2004,"0-30",88.7,NA,NA,NA
"E2_F4_CT_1","570007",14,"E2",2004,"0-30",88.7,NA,NA,NA
"E2_F4_CT_2","570007",14,"E2",2004,"0-30",88.7,NA,NA,NA
"E2_F4_CT_3","570007",14,"E2",2004,"0-30",88.7,NA,NA,NA
"E20_CT","540001",6,"E20",1994,"0-60",75.25,NA,NA,NA
"E20_NT","540001",6,"E20",1994,"0-60",54.95,NA,NA,NA
"E21_CT","441026",4,"E21",1994,"0-60",42.4,NA,NA,NA
"E21_NT","441026",4,"E21",1994,"0-60",36,NA,NA,NA
"E22_CT","441026",3,"E22",1994,"0-60",41.95,NA,NA,NA
"E22_NT","441026",3,"E22",1994,"0-60",36.45,NA,NA,NA
