"site","POLYID","year","sand","cinput","ligfrac","nfrac","till","irrig"
"E1_F50S_CT",727006,1983,0.17,2.431413043,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1984,0.17,3.04234,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1985,0.17,3.175795,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1986,0.17,4.401845,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1987,0.17,3.622005,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1988,0.17,4.20105,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1989,0.17,3.219025,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1990,0.17,4.059675,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1991,0.17,3.54673913,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1992,0.17,3.85345,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1993,0.17,4.52685,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1994,0.17,3.403275,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1995,0.17,4.085434783,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1996,0.17,3.838913043,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1997,0.17,3.865104131,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1998,0.17,3.239158929,0.1,0.1,"FT",0
"E1_F50S_CT",727006,1999,0.17,2.698626047,0.1,0.1,"FT",0
"E1_F50S_CT",727006,2000,0.17,4.274496938,0.1,0.1,"FT",0
"E1_F50S_CT",727006,2001,0.17,2.419222344,0.1,0.1,"FT",0
"E1_F50S_CT",727006,2002,0.17,3.536277205,0.1,0.1,"FT",0
"E1_F50S_CT",727006,2003,0.17,5.31,0.1,0.1,"FT",0
"E1_F50S_CT",727006,2004,0.17,5.15513942,0.1,0.1,"FT",0
"E1_F50S_CT",727006,2005,0.17,2.898560226,0.1,0.1,"FT",0
"E1_F50S_CT",727006,2006,0.17,2.199850523,0.1,0.1,"FT",0
"E1_F50S_CT",727006,2007,0.17,4.315431085,0.1,0.1,"FT",0
"E1_F50S_CT",727006,2008,0.17,3.809362697,0.1,0.1,"FT",0
"E1_F50S_CT",727006,2009,0.17,2.430828959,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1983,0.17,2.567282609,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1984,0.17,2.97941,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1985,0.17,2.53456,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1986,0.17,4.54832,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1987,0.17,3.8013075,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1988,0.17,4.1793,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1989,0.17,3.141825,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1990,0.17,3.962875,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1991,0.17,3.414130435,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1992,0.17,3.218925,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1993,0.17,4.637625,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1994,0.17,3.97825,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1995,0.17,3.742065217,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1996,0.17,4.063586957,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1997,0.17,3.581881263,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1998,0.17,3.339116506,0.1,0.1,"FT",0
"E1_F75S_CT",727006,1999,0.17,2.786119852,0.1,0.1,"FT",0
"E1_F75S_CT",727006,2000,0.17,4.205872703,0.1,0.1,"FT",0
"E1_F75S_CT",727006,2001,0.17,2.397316539,0.1,0.1,"FT",0
"E1_F75S_CT",727006,2002,0.17,4.068518293,0.1,0.1,"FT",0
"E1_F75S_CT",727006,2003,0.17,5.371956522,0.1,0.1,"FT",0
"E1_F75S_CT",727006,2004,0.17,5.414160744,0.1,0.1,"FT",0
"E1_F75S_CT",727006,2005,0.17,3.024575723,0.1,0.1,"FT",0
"E1_F75S_CT",727006,2006,0.17,2.451270553,0.1,0.1,"FT",0
"E1_F75S_CT",727006,2007,0.17,5.049768973,0.1,0.1,"FT",0
"E1_F75S_CT",727006,2008,0.17,4.041482119,0.1,0.1,"FT",0
"E1_F75S_CT",727006,2009,0.17,2.112860892,0.1,0.1,"FT",0
