"site","TrtID","POLYID","year","sand","cinput","ligfrac","nfrac","till","irrig"
"E10_CT_CR1","E10_CT_CR1",808017,1982,0.26,1.6692730911464,0.053,0.007,"FT",0
"E10_CT_CR1","E10_CT_CR1",808017,1983,0.26,1.6692730911464,0.053,0.007,"FT",0
"E10_CT_CR1","E10_CT_CR1",808017,1984,0.26,1.6692730911464,0.053,0.007,"FT",0
"E10_CT_CR1","E10_CT_CR1",808017,1985,0.26,1.6692730911464,0.053,0.007,"FT",0
"E10_CT_CR1","E10_CT_CR1",808017,1986,0.26,1.6692730911464,0.053,0.007,"FT",0
"E10_CT_CR1","E10_CT_CR1",808017,1987,0.26,1.6692730911464,0.053,0.007,"FT",0
"E10_CT_CR1","E10_CT_CR1",808017,1988,0.26,1.6692730911464,0.053,0.007,"FT",0
"E10_CT_CR1","E10_CT_CR1",808017,1989,0.26,1.6692730911464,0.053,0.007,"FT",0
"E10_CT_CR1","E10_CT_CR1",808017,1990,0.26,1.6692730911464,0.053,0.007,"FT",0
"E10_CT_CR1","E10_CT_CR1",808017,1991,0.26,1.6692730911464,0.053,0.007,"FT",0
"E10_CT_CR1","E10_CT_CR1",808017,1992,0.26,1.6692730911464,0.053,0.007,"FT",0
"E10_CT_CR2","E10_CT_CR2",808017,1982,0.26,0.25,0.053,0.007,"FT",0
"E10_CT_CR2","E10_CT_CR2",808017,1983,0.26,1.32531088060031,0.053,0.007,"FT",0
"E10_CT_CR2","E10_CT_CR2",808017,1984,0.26,0.25,0.053,0.007,"FT",0
"E10_CT_CR2","E10_CT_CR2",808017,1985,0.26,1.32531088060031,0.053,0.007,"FT",0
"E10_CT_CR2","E10_CT_CR2",808017,1986,0.26,0.25,0.053,0.007,"FT",0
"E10_CT_CR2","E10_CT_CR2",808017,1987,0.26,1.32531088060031,0.053,0.007,"FT",0
"E10_CT_CR2","E10_CT_CR2",808017,1988,0.26,0.25,0.053,0.007,"FT",0
"E10_CT_CR2","E10_CT_CR2",808017,1989,0.26,1.32531088060031,0.053,0.007,"FT",0
"E10_CT_CR2","E10_CT_CR2",808017,1990,0.26,0.25,0.053,0.007,"FT",0
"E10_CT_CR2","E10_CT_CR2",808017,1991,0.26,1.32531088060031,0.053,0.007,"FT",0
"E10_CT_CR2","E10_CT_CR2",808017,1992,0.26,0.25,0.053,0.007,"FT",0
"E10_NT_CR1","E10_NT_CR1",808017,1982,0.26,1.75301779559987,0.053,0.007,"NT",0
"E10_NT_CR1","E10_NT_CR1",808017,1983,0.26,1.75301779559987,0.053,0.007,"NT",0
"E10_NT_CR1","E10_NT_CR1",808017,1984,0.26,1.75301779559987,0.053,0.007,"NT",0
"E10_NT_CR1","E10_NT_CR1",808017,1985,0.26,1.75301779559987,0.053,0.007,"NT",0
"E10_NT_CR1","E10_NT_CR1",808017,1986,0.26,1.75301779559987,0.053,0.007,"NT",0
