"","params","main","interactions"
"1","f1",0.0811365438868555,0.115933198373972
"2","f2",0.000844791224218674,0.0310937033967674
"3","f3",0.110980393475507,0.274306050755828
"4","f5",0.0328747700962898,0.123200016285987
"5","f6",0.174652163088811,0.221947811402999
"6","f7",0.00634057506970986,0.110097328189864
"7","f8",0.0072760696107559,0.123906345955673
"8","k10",0.00744373662942143,0.126468785050144
"9","k20",0.00744373662942143,0.126468785050144
"10","k30",0.0870604504455475,0.164668789725678
"11","k40",0.569437848531698,0.6418774915912
"12","k50",0.0077620508680736,0.129175976562017
"13","plig",0.00744373662942143,0.126468785050144
"14","tillfac_FT",0.118330794948303,0.567655943214838
"15","tillfac_RT",0.00744373662942143,0.126468785050144
"16","tmax",0.108109611865196,0.871868415817063
"17","topt",0.152983724850581,0.494245877966561
"18","wfac_irri",0.00744373662942143,0.126468785050144
