"site","POLYID","Freq","experiment","year","input_type","modelled_SOC","init_active_frac","init_slow_frac","init_passive_frac"
"E1_F0NS_CT","727006",27,"E1",1983,"0-20",131.9,44.553089282359,74.1208117071111,13.2260990105299
"E1_F0S_CT","727006",27,"E1",1983,"0-20",131.9,44.553089282359,74.1208117071111,13.2260990105299
"E1_F25NS_CT","727006",27,"E1",1983,"0-20",131.9,44.553089282359,74.1208117071111,13.2260990105299
"E1_F25S_CT","727006",27,"E1",1983,"0-20",131.9,44.553089282359,74.1208117071111,13.2260990105299
"E1_F50NS_CT","727006",27,"E1",1983,"0-20",131.9,44.553089282359,74.1208117071111,13.2260990105299
"E1_F50S_CT","727006",27,"E1",1983,"0-20",131.9,44.553089282359,74.1208117071111,13.2260990105299
"E1_F75NS_CT","727006",27,"E1",1983,"0-20",131.9,44.553089282359,74.1208117071111,13.2260990105299
"E1_F75S_CT","727006",27,"E1",1983,"0-20",131.9,44.553089282359,74.1208117071111,13.2260990105299
"E10_CT_CR1","808017",11,"E10",1992,"0-15",43.4,13.0338619758624,25.527466960194,4.83867106394353
"E10_CT_CR2","808017",11,"E10",1992,"0-15",43.4,13.0338619758624,25.527466960194,4.83867106394353
"E10_NT_CR1","808017",11,"E10",1992,"0-15",47.4,26.8192470966745,17.3013271999866,3.27942570333888
"E10_NT_CR2","808017",11,"E10",1992,"0-15",47.4,26.8192470966745,17.3013271999866,3.27942570333888
"E11_CT_CR1","825007",11,"E11",1992,"0-15",46.55,14.0292997809426,24.640643600419,7.88005661863844
"E11_CT_CR2","825007",11,"E11",1992,"0-15",46.55,14.0292997809426,24.640643600419,7.88005661863844
"E11_NT_CR1","825007",11,"E11",1992,"0-15",47.05,26.6795499338172,15.4345077652049,4.93594230097793
"E11_NT_CR2","825007",11,"E11",1992,"0-15",47.05,26.6795499338172,15.4345077652049,4.93594230097793
"E12_CT_CR1","793011",16,"E12",1991,"0-15",91.1,26.0936021922115,53.9261437249707,11.0802540828178
"E12_CT_CR2","793011",16,"E12",1991,"0-15",91.1,26.0936021922115,53.9261437249707,11.0802540828178
"E12_NT_CR1","793011",16,"E12",1991,"0-15",91.9,50.4784520132052,34.3613002008095,7.06024778598528
